faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2023,15,57,87,298,385,4,2,2,"385,29609",30.2,20.7,3.1,14.2,18.5,,,,17.7,3.5,,,,4.9,,54,1,5,6,3,0,3
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,65,210,275,1,2,2,"331,41204",25.9,12.4,2.8,14.1,12.0,,,,17.4,4.1,,,,5.2,,35,2,4,2,1,7,11
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2022,11,51,65,228,293,1,0,2,"385,64321",28.1,19.9,3.8,14.2,19.9,,,,17.2,4.2,,,,4.4,,36,0,1,6,4,7,8
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2023,18,44,66,221,287,2,2,2,"385,68066",29.5,19.7,2.9,13.8,18.8,,,,18.0,3.5,,,,5.4,,40,0,1,5,1,10,5
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,86,163,249,3,2,1,"340,32209",25.5,3.5,1.2,13.8,,,,,15.8,4.5,7.8,3.7,6.6,5.4,4.6,43,0,2,4,2,1,0
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2022,25,27,95,165,260,3,2,1,"384,55109",27.4,8.1,2.0,14.4,,,,,15.7,4.7,8.5,4.1,6.8,5.5,7.6,41,1,2,3,1,3,1
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2023,23,29,99,150,249,5,2,1,"385,85695",27.8,7.7,1.1,14.7,,,,,16.3,3.6,6.9,4.4,6.2,6.2,8.6,46,0,0,2,1,2,1
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,104,168,272,3,2,3,"371,84068",28.5,4.7,2.1,15.7,,,,,18.4,4.8,8.9,4.2,7.4,6.2,6.6,45,1,2,7,4,0,3
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2022,21,41,118,183,301,3,5,0,"410,98162",30.7,7.7,1.6,15.8,,,,,18.9,5.0,9.3,4.8,7.5,5.7,8.4,47,0,4,4,3,2,2
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2023,25,37,119,184,303,4,3,4,"414,54799",31.2,8.8,1.9,15.6,,,,,19.1,4.1,7.4,4.9,7.6,6.9,8.8,48,3,1,3,2,2,3
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,306,182,488,17,13,8,"271,41914",23.8,11.8,8.5,10.1,10.4,3.5,4.8,6.3,,,,,,,,58,9,3,6,1,3,1
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2022,42,40,272,185,457,19,10,9,"343,06152",26.3,24.3,11.3,10.4,22.2,5.4,5.7,5.2,,,,,,,,66,0,1,3,2,6,3
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2023,45,37,278,188,466,25,13,9,"375,23418",28.4,23.1,13.6,12.2,21.8,9.2,6.7,6.1,,,,,,,,59,9,5,1,6,0,2
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,14,37,51,2,2,1,"388,76072",28.0,5.6,3.1,11.3,,,,,,,,,,,,36,6,2,3,4,1,0
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2022,15,37,50,90,140,2,3,2,"433,33719",31.0,13.6,4.6,13.2,,,,,,,,,,,,41,4,1,0,2,3,1
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2023,11,43,46,123,169,1,3,5,"448,15957",31.1,16.6,6.3,13.8,,,,,,,,,,,,42,3,4,1,3,1,0
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,249,205,454,5,3,7,"310,74460",25.5,12.8,11.2,11.1,14.3,3.7,7.6,8.4,,,,,,,,59,3,8,8,2,1,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2022,42,40,278,212,490,5,4,5,"406,24208",28.9,27.9,12.4,12.2,29.7,6.0,8.3,6.6,,,,,,,,55,8,10,5,2,1,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2023,58,25,311,215,526,5,6,4,"439,59054",29.9,29.5,15.2,13.4,28.8,11.2,9.3,7.9,,,,,,,,60,3,7,5,5,2,1
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,144,495,639,28,12,5,"310,79958",25.8,12.6,11.3,10.9,12.9,3.2,8.6,8.6,,,,,,,,93,5,2,1,2,0,0
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2022,22,81,131,485,616,32,10,3,"391,70909",28.6,24.3,12.1,12.0,25.5,5.4,8.0,6.7,,,,,,,,89,3,3,6,0,0,2
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2023,21,82,125,469,594,40,9,8,"414,37146",30.1,25.3,14.4,12.7,23.9,9.4,8.5,7.5,,,,,,,,84,5,6,2,4,1,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,69,149,218,28,12,5,"343,29233",26.9,15.7,12.9,12.0,17.1,3.8,9.4,9.6,,,,,,,,37,3,5,2,3,1,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2022,13,39,81,181,262,32,10,3,"420,75938",30.1,27.7,13.5,12.5,29.6,6.9,9.1,7.5,,,,,,,,38,3,5,2,3,0,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2023,12,40,79,207,286,40,9,8,"434,60637",30.4,28.9,14.3,13.3,26.8,10.4,9.3,8.4,,,,,,,,38,3,6,1,1,2,1
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,190,235,425,11,10,18,"342,29089",25.7,16.8,11.8,11.5,18.9,4.2,8.8,8.9,,,,,,,,56,7,4,7,3,1,4
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2022,49,33,232,193,425,11,10,14,"419,60663",29.1,29.9,13.3,12.5,32.7,6.9,7.9,6.5,,,,,,,,57,3,10,6,5,0,1
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2023,47,35,254,198,452,17,8,11,"436,81543",29.9,30.3,14.9,12.7,30.6,10.3,8.6,7.2,,,,,,,,57,4,8,3,5,4,1
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,124,254,378,5,3,5,"380,79571",29.9,17.9,14.3,13.2,20.4,5.4,10.0,11.0,,,,,,,,33,9,11,12,9,5,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2022,21,61,130,326,456,7,2,5,"450,03917",30.3,31.4,14.5,13.4,33.2,7.7,9.2,9.0,,,,,,,,38,11,14,8,6,2,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2023,32,51,135,323,458,7,6,3,"451,55708",31.4,29.4,16.3,14.0,28.8,11.2,9.1,8.8,,,,,,,,47,10,7,5,7,4,3
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,75,230,305,4,1,6,"323,21204",25.6,3.6,1.3,13.1,,,,,15.5,4.0,7.1,3.1,6.0,4.2,3.4,59,4,3,3,1,1,1
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2022,15,57,80,235,315,5,2,6,"375,58650",27.8,6.1,1.6,13.9,,,,,16.4,4.4,8.3,3.9,5.9,4.9,6.3,62,1,2,3,4,0,0
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2023,18,56,84,255,339,4,3,9,"378,20479",28.6,7.7,0.9,14.1,,,,,15.6,3.3,6.2,4.2,6.7,5.2,7.9,64,3,2,3,2,0,0
