faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,success_order,preferred,quota,placed_number,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,ydt_yabanci_dil,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2023,24,17,175,87,262,1,2,1,371.38591,150613,588,41,41,28.4,23.3,12.6,12.3,21.0,8.1,6.2,5.3,,,,,,,,,28,1,3,6,0,0,3
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2024,28,19,175,87,262,1,2,1,352.81665,143547,461,47,47,29.2,22.5,10.8,12.8,14.8,7.4,4.8,6.3,,,,,,,,,37,1,4,3,2,0,0
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2021,17,45,50,210,260,5,1,3,300.08087,163366,729,62,62,24.9,12.1,10.3,9.5,12.4,2.8,7.8,8.6,,,,,,,,,53,0,4,3,1,0,1
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2022,13,49,58,215,273,5,3,1,352.41279,171793,616,62,62,26.9,20.0,11.1,11.3,20.4,4.1,6.9,6.6,,,,,,,,,54,0,1,1,4,1,1
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2023,12,50,65,211,276,6,2,0,361.2024,167688,661,62,62,28.0,21.1,11.9,11.7,18.8,6.0,6.1,6.2,,,,,,,,,53,1,2,2,0,2,2
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2024,11,20,65,211,276,6,2,0,330.96291,183588,304,31,31,29.2,19.0,9.1,12.2,11.1,5.6,4.0,7.0,,,,,,,,,23,0,1,3,3,0,1
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2021,14,48,92,225,317,1,1,3,373.52762,67138,1394,62,62,27.5,16.7,13.7,11.9,20.4,5.1,9.9,10.7,,,,,,,,,31,2,10,3,4,4,8
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2022,15,47,96,248,344,1,3,1,437.16823,68151,1097,62,62,28.5,29.1,13.2,12.4,32.5,7.9,9.0,8.1,,,,,,,,,30,0,5,7,9,4,7
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2023,15,47,86,232,318,1,3,1,428.86933,78355,712,62,62,29.8,27.3,13.8,12.6,28.0,10.2,8.4,7.8,,,,,,,,,28,6,9,3,4,4,8
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2024,10,21,86,232,318,1,3,1,385.0753,99182,354,31,31,27.9,27.7,12.3,11.5,19.8,7.7,5.7,8.0,,,,,,,,,20,2,2,2,0,2,3
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2021,26,36,112,191,303,0,2,2,423.06777,7641,1445,62,62,30.2,8.8,4.6,14.1,,,,,,,,,,,,73.3,35,5,6,4,6,4,2
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2022,20,42,119,202,321,1,1,2,457.20061,8075,1822,62,62,31.6,17.2,6.1,13.2,,,,,,,,,,,,74.8,44,3,4,0,5,2,3
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2023,18,44,112,197,309,1,3,3,459.43422,8636,1376,62,62,32.1,16.5,7.5,14.7,,,,,,,,,,,,74.4,41,1,4,5,6,2,3
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2024,11,30,112,197,309,1,3,3,466.34002,5585,1980,41,41,32.4,20.0,7.9,14.8,,,,,,,,,,,,74.3,20,4,5,3,0,2,7
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2021,4,58,43,258,301,0,2,1,369.81961,12129,1108,62,62,28.4,4.8,1.3,15.2,,,,,18.1,4.7,8.7,3.8,7.6,5.9,5.6,,39,2,3,3,2,5,8
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2022,10,52,48,280,328,1,1,1,415.08841,12247,1526,62,62,29.5,8.1,2.2,15.7,,,,,19.1,4.9,9.5,4.7,7.0,6.4,8.7,,40,3,1,5,3,3,7
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2023,9,53,45,257,302,1,3,1,416.60906,10407,996,62,62,31.3,7.4,2.0,15.7,,,,,18.8,4.0,7.7,4.8,7.5,7.2,9.1,,43,3,1,2,2,2,9
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2024,7,45,45,257,302,1,3,1,430.72524,8642,964,52,52,30.7,8.1,2.8,15.2,,,,,19.7,4.4,8.4,4.5,7.2,8.4,8.6,,34,0,0,7,3,4,4
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2021,20,52,86,269,355,3,0,1,336.12441,69183,1214,72,72,28.3,12.7,3.0,13.8,12.0,,,,17.0,4.5,,,,4.6,,,40,3,6,10,6,3,4
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2022,15,57,93,282,375,8,5,7,384.62513,87337,1205,72,72,29.2,20.0,4.0,14.2,18.8,,,,17.4,4.6,,,,4.8,,,49,3,6,6,7,1,0
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2023,15,57,87,298,385,4,2,2,385.29609,70958,1587,72,72,30.2,20.7,3.1,14.2,18.5,,,,17.7,3.5,,,,4.9,,,54,1,5,6,3,0,3
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2024,7,34,87,298,385,4,2,2,382.21485,58207,1376,41,41,29.6,22.2,3.5,13.6,15.9,,,,17.3,3.7,,,,6.8,,,32,1,3,1,1,2,1
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,65,210,275,1,2,2,331.41204,77529,1382,62,62,25.9,12.4,2.8,14.1,12.0,,,,17.4,4.1,,,,5.2,,,35,2,4,2,1,7,11
