faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number,avg_professors,avg_assoc_prof,avg_phd,avg_base_point,total_leaving,total_incoming,avg_success_order,total_quota,total_preferred
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,14,37,51,2.0,2.0,1.0,388.0,0,0,15.602,52,1.141
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2022,15,37,50,90,140,2.0,3.0,2.0,433.0,1,0,13.437,52,1.157
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2023,11,43,46,123,169,1.0,3.0,5.0,448.0,4,0,11.332,54,880
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,249,205,454,5.0,3.0,7.0,310.0,5,0,144.907,82,1.335
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2022,42,40,278,212,490,5.0,4.0,5.0,406.0,1,0,99.244,82,2.079
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2023,58,25,311,215,526,5.0,6.0,4.0,439.0,10,0,67.879,84,2320
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,144,495,639,28.0,12.0,5.0,310.0,3,0,144.82,103,1.227
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2022,22,81,131,485,616,32.0,10.0,3.0,391.0,1,0,115.672,103,1.792
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2023,21,82,125,469,594,40.0,9.0,8.0,414.0,17,1,93.677,106,1618
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,69,149,218,28.0,12.0,5.0,343.0,0,0,99.871,52,972
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2022,13,39,81,181,262,0.0,0.0,0.0,420.0,1,1,83.97,52,1.277
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2023,12,40,79,207,286,40.0,9.0,8.0,434.0,5,0,72.562,54,1183
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,190,235,425,11.0,10.0,18.0,342.0,4,1,101.109,82,1.084
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2022,49,33,232,193,425,11.0,10.0,14.0,419.0,0,0,85.092,82,1.974
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2023,47,35,254,198,452,17.0,8.0,11.0,436.0,1,1,70.496,84,1802
