year,faculty_name,total_male_number Change (%),total_female_number Change (%),total_student_number_ Change (%),professors Change (%),assoc_prof Change (%),phd Change (%),base_point Change (%),success_order Change (%),preferred Change (%),quota Change (%),placed_number Change (%),tyt_turkce Change (%),tyt_matematik Change (%),tyt_fen Change (%),tyt_sosyal Change (%),ayt_matematik Change (%),ayt_fizik Change (%),ayt_kimya Change (%),ayt_biyoloji Change (%),ayt_edebiyat Change (%),ayt_cografya1 Change (%),ayt_cografya2 Change (%),ayt_din Change (%),ayt_felsefe Change (%),ayt_tarih1 Change (%),ayt_tarih2 Change (%),ydt_yabanci_dil Change (%),Marmara Change (%),Ege Change (%),Akdeniz Change (%),Karadeniz Change (%),Ic_Anadolu Change (%),Dogu_Anadolu Change (%),Guney_Dogu_Anadolu Change (%),tyt_correct_answer Change (%),ayt_correct_answer Change (%),ydt_correct_answer Change (%)
2023,Gemi İnşaatı ve Denizcilik Fakültesi,-8.390243902439021,8.823529411764696,-6.8322981366459645,0.0,44.44444444444444,-21.42857142857143,3.2827782644764936,-18.25319721607288,7.547169811320753,0.0,0.0,3.633217993079607,0.657894736842124,13.120567375886516,3.396226415094339,-4.761904761904756,35.46511627906976,7.14285714285714,4.938271604938271,,,,,,,,,21.126760563380277,50.0,-59.375,-6.666666666666665,-30.76923076923077,-50.0,80.0,4.096941719561453,4.370179948586128,
2024,Gemi İnşaatı ve Denizcilik Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-2.7692600550183077,-16.9293562967581,28.615984405458093,7.14285714285714,7.14285714285714,2.170283806343898,5.065359477124165,-3.7617554858934144,3.649635036496357,-17.419354838709676,-4.72103004291845,-11.794871794871797,13.529411764705879,,,,,,,,,3.488372093023262,9.523809523809534,46.153846153846146,0.0,33.33333333333333,200.0,-77.77777777777779,2.32815964523283,-9.770114942528751,
2022,Kimya-Metalurji Fakültesi,4.92529053680133,5.861099959855487,5.46765937645417,-6.25,34.78260869565217,-14.28571428571429,33.84603503112223,-8.262362497540055,32.11838859961633,0.0,0.14492753623187582,20.156862745098024,94.86537257357546,11.95826645264846,14.066496163682874,84.4162995594713,70.65868263473057,7.17488789237668,-6.98412698412697,,,,,,,,,5.251641137855589,-15.000000000000002,16.666666666666675,-13.207547169811317,-18.75,-46.15384615384615,-9.090909090909093,35.68382576911362,45.37794896485317,
2023,Kimya-Metalurji Fakültesi,1.4767932489451407,-4.891922639362911,-2.2281050077211595,50.66666666666666,11.290322580645151,1.5151515151515138,1.667193815588952,-7.549996116447399,-2.3923114153356795,0.0,0.0,1.4033942558746793,-2.024421593830328,13.76344086021506,0.298953662182333,-6.389967154374421,33.33333333333333,5.020920502092063,-4.550625711035272,,,,,,,,,1.039501039501034,19.6078431372549,-14.28571428571429,-19.565217391304344,-7.692307692307687,71.42857142857142,0.0,1.9755303625547116,1.308163603245549,
2024,Kimya-Metalurji Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-3.3389363379961234,-8.555237279863015,0.5312743500743844,-8.827785817655576,-8.827785817655576,2.1564209848728533,2.295834699901622,-3.1505986137366104,7.078986587183311,-20.382775119617225,-4.29824561403509,-10.55776892430279,20.619785458879612,,,,,,,,,-15.843621399176955,3.2786885245901676,-20.833333333333336,37.83783783783783,19.444444444444443,41.66666666666667,-19.999999999999996,2.0033021463951695,-10.150375939849631,
2022,Makine Fakültesi,2.1329541414859543,15.295815295815295,4.734740444951502,14.28571428571428,32.14285714285714,-12.962962962962965,37.96965126656142,29.394744008714603,25.49687677455992,0.0,0.21551724137931494,31.685236768802216,102.28353948620361,21.681997371879103,27.195467422096332,67.52738654147106,52.542372881355945,8.736059479553893,-1.4134275618374659,,,,,,,,,-1.9685039370078705,19.999999999999996,-11.475409836065575,17.948717948717952,5.128205128205132,-31.25,-19.999999999999996,47.72382397572081,40.035778175313055,
2023,Makine Fakültesi,-7.553080403759138,0.5006257822277815,-5.800653594771243,23.214285714285722,10.81081081081081,12.765957446808507,-0.8353542811746273,41.55270842650811,-7.07692307692308,0.21505376344086446,0.21505376344086446,-2.062400846113177,-6.773283160865473,4.859611231101524,-7.349665924276172,-5.091078935077076,13.174603174603172,5.470085470085473,1.0752688172043223,,,,,,,,,8.032128514056236,-1.851851851851849,-29.629629629629626,-2.1739130434782594,-4.878048780487809,-45.45454545454546,75.0,-3.492552645095026,0.30659172202349705,
2024,Makine Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-3.165883612866005,-7.660540910239821,-1.6848461238800128,5.364806866952798,5.364806866952798,2.159827213822907,-3.884964682139247,-6.282183316168899,8.653846153846168,-16.58464566929134,-0.7012622720897643,-7.617504051863855,7.978723404255317,,,,,,,,,7.434944237918217,-15.094339622641506,39.47368421052631,-2.2222222222222254,-7.692307692307687,116.66666666666666,-28.57142857142857,-0.4612382472946597,-8.762098828323984,
2022,Mimarlık Fakültesi,3.571428571428581,21.834415584415588,14.732142857142861,-10.81081081081081,3.6363636363636376,-5.263157894736848,18.631581851410917,-5.4944102090303755,6.379849236992086,0.0,0.0,6.754221388367743,75.62277580071171,7.012987012987026,4.130434782608683,63.49206349206349,42.85714285714286,-8.62745098039216,-22.499999999999996,-5.5118110236220375,19.999999999999996,,,,44.827586206896555,,,3.2786885245901676,37.037037037037045,61.111111111111114,-42.10526315789473,-25.71428571428571,15.384615384615374,-33.333333333333336,21.957137080469067,24.26981919332407,
2023,Mimarlık Fakültesi,-8.128078817733986,-0.532978014656893,-3.199308257674016,24.242424242424242,0.0,-18.518518518518523,-18.68053597547433,-7.9552824822113894,-15.433805737988248,1.2158054711246091,0.3039513677811634,-17.820738137082593,-21.8642350557244,-13.786407766990305,-16.325678496868477,-21.9848975188781,14.800000000000013,-18.28326180257511,-22.949308755760367,-26.66666666666666,-61.66666666666667,,,,-27.61904761904762,,,0.0,-8.108108108108103,-10.344827586206895,22.72727272727273,11.538461538461542,-6.666666666666665,10.000000000000009,-18.355437665782492,-19.015109121432573,
