year,department_name,success_order,base_point,tyt_correct_answer,ayt_correct_answer,ydt_correct_answer,Base Point Change,Success Order Change,TYT Correct Answer Change,AYT Correct Answer Change,YDT Correct Answer Change,Base Point Change (%),Success Order Change (%),TYT Correct Answer Change (%),AYT Correct Answer Change (%),YDT Correct Answer Change (%),tyt_turkce Change,tyt_turkce Change (%),tyt_matematik Change,tyt_matematik Change (%),tyt_fen Change,tyt_fen Change (%),tyt_sosyal Change,tyt_sosyal Change (%),ayt_matematik Change,ayt_matematik Change (%),ayt_fizik Change,ayt_fizik Change (%),ayt_kimya Change,ayt_kimya Change (%),ayt_biyoloji Change,ayt_biyoloji Change (%),ayt_edebiyat Change,ayt_edebiyat Change (%),ayt_cografya1 Change,ayt_cografya1 Change (%),ayt_cografya2 Change,ayt_cografya2 Change (%),ayt_din Change,ayt_din Change (%),ayt_felsefe Change,ayt_felsefe Change (%),ayt_tarih1 Change,ayt_tarih1 Change (%),ayt_tarih2 Change,ayt_tarih2 Change (%)
2022,Mimarlık,64251,441.45306,87.89999999999999,57.60000000000001,0.0,5437.0,59.168049999999994,15.499999999999986,9.900000000000006,0.0,15.477470591902097,9.244397592409982,21.408839779005497,20.75471698113209,0.0,0.8000000000000007,2.877697841726623,1.6000000000000005,26.22950819672132,-0.7000000000000001,-43.75,0.1999999999999993,1.4388489208633004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7999999999999989,-4.8780487804877986,-1.1000000000000005,-25.00000000000001,-2.1000000000000005,-25.30120481927711,0.30000000000000027,7.692307692307709,0.7999999999999998,13.55932203389829,0.2999999999999998,6.1224489795918435,1.6000000000000005,25.396825396825395
2023,Mimarlık,63449,444.32134,87.7,57.0,0.0,-802.0,2.868280000000027,-0.19999999999998863,-0.6000000000000085,0.0,0.6497361237002286,-1.2482295995393078,-0.22753128555175195,-1.0416666666666852,0.0,0.5,1.5060240963855387,0.3999999999999986,1.0958904109588996,-0.3999999999999986,-2.1390374331550777,-0.1999999999999993,-1.2499999999999956,-4.399999999999999,-11.733333333333329,-0.1999999999999993,-1.538461538461533,-1.5,-12.195121951219512,0.5,4.545454545454541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Mimarlık,63663,419.29138,87.0,47.9,0.0,214.0,-25.029960000000017,-0.7000000000000028,-9.100000000000001,0.0,-5.633301339971652,0.3372787593185045,-0.7981755986317007,-15.96491228070176,0.0,2.299999999999997,8.185053380782904,13.600000000000001,99.27007299270075,3.0,61.224489795918366,-0.5,-3.424657534246578,12.6,86.30136986301369,0.0,0.0,0.0,0.0,0.0,0.0,-1.8000000000000007,-10.588235294117654,0.40000000000000036,8.888888888888902,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.363636363636353,0.0,0.0
2021,Mimarlık (İngilizce),46853,396.07043,75.7,49.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9000000000000021,-6.375838926174504,0.3999999999999986,1.46520146520146,-1.5,-10.869565217391308,-1.0999999999999996,-8.730158730158733,-8.2,-29.28571428571428,-2.499999999999999,-24.50980392156862,-2.7,-32.14285714285714,0.20000000000000018,2.564102564102577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Mimarlık (İngilizce),47436,460.672,91.80000000000001,60.8,0.0,583.0,64.60157000000004,16.10000000000001,11.499999999999993,0.0,16.310626875124214,1.24431733293493,21.268163804491415,23.326572008113565,0.0,1.3999999999999986,4.895104895104896,2.1000000000000005,27.27272727272727,0.9,100.0,0.09999999999999964,0.7092198581560183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299999999999999,21.153846153846146,0.7999999999999998,24.242424242424242,1.7999999999999998,29.032258064516125,-0.10000000000000053,-2.3809523809523947,0.20000000000000018,2.9850746268656803,2.3999999999999995,46.153846153846146,-0.20000000000000018,-2.5316455696202556
2023,Mimarlık (İngilizce),49604,459.61599,91.2,60.199999999999996,0.0,2168.0,-1.0560100000000148,-0.6000000000000085,-0.6000000000000014,0.0,-0.22923251250347443,4.570368496500543,-0.6535947712418388,-0.9868421052631637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Mimarlık (İngilizce),52472,432.1829,90.3,51.10000000000001,0.0,2868.0,-27.433089999999993,-0.9000000000000057,-9.099999999999987,0.0,-5.968697912359399,5.781791790984592,-0.9868421052631637,-15.116279069767424,0.0,1.7000000000000028,5.592105263157898,-2.1000000000000014,-7.692307692307699,1.0999999999999996,13.924050632911378,1.3000000000000007,9.219858156028371,-2.3999999999999986,-8.823529411764696,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,24.342105263157897,-1.1000000000000005,-22.44897959183675,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999995,18.36734693877551,0.0,0.0
2021,Moleküler Biyoloji ve Genetik,60177,380.79571,75.3,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Moleküler Biyoloji ve Genetik,56555,450.03917,89.60000000000001,59.10000000000001,0.0,-3622.0,69.24346000000003,14.300000000000011,12.300000000000011,0.0,18.183886577923914,-6.018910879571926,18.990703851261625,26.2820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Moleküler Biyoloji ve Genetik,56719,451.55708,91.1,57.900000000000006,0.0,164.0,1.5179099999999721,1.4999999999999858,-1.2000000000000028,0.0,0.3372839746371259,0.28998320219255636,1.6741071428571175,-2.0304568527918843,0.0,3.5,12.72727272727272,14.200000000000003,71.35678391959802,0.40000000000000036,2.6666666666666616,0.5999999999999996,4.4117647058823595,12.100000000000001,50.416666666666664,2.299999999999999,29.11392405063289,-0.3000000000000007,-2.8846153846153966,-1.5,-13.636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
