year,department_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2024,Kimya Mühendisliği,52,1874,52,-30.0,116.0,-30.0,-36.58536585365854,6.59840728100114,-36.58536585365854
2021,Kimya Mühendisliği (İngilizce),72,173,72,,,,,,
2022,Kimya Mühendisliği (İngilizce),72,1854,72,0.0,1681.0,0.0,0.0,971.6763005780347,0.0
2023,Kimya Mühendisliği (İngilizce),72,1716,72,0.0,-138.0,0.0,0.0,-7.443365695792881,0.0
2024,Kimya Mühendisliği (İngilizce),52,1505,52,-20.0,-211.0,-20.0,-27.77777777777778,-12.296037296037298,-27.77777777777778
2021,Kontrol ve Otomasyon Mühendisliği,72,861,72,,,,,,
2022,Kontrol ve Otomasyon Mühendisliği,72,1207,72,0.0,346.0,0.0,0.0,40.185830429732874,0.0
2023,Kontrol ve Otomasyon Mühendisliği,72,1719,72,0.0,512.0,0.0,0.0,42.41922120961061,0.0
2024,Kontrol ve Otomasyon Mühendisliği,77,1995,77,5.0,276.0,5.0,6.944444444444442,16.055846422338572,6.944444444444442
2021,Kontrol ve Otomasyon Mühendisliği (İngilizce),52,957,52,,,,,,
2022,Kontrol ve Otomasyon Mühendisliği (İngilizce),52,1249,52,0.0,292.0,0.0,0.0,30.51201671891326,0.0
2023,Kontrol ve Otomasyon Mühendisliği (İngilizce),52,1669,52,0.0,420.0,0.0,0.0,33.626901521216965,0.0
2024,Kontrol ve Otomasyon Mühendisliği (İngilizce),57,1912,57,5.0,243.0,5.0,9.615384615384626,14.559616536848408,9.615384615384626
2021,Kültür Varlıklarını Koruma ve Onarım,41,283,41,,,,,,
2022,Kültür Varlıklarını Koruma ve Onarım,41,866,41,0.0,583.0,0.0,0.0,206.00706713780917,0.0
2023,Kültür Varlıklarını Koruma ve Onarım,42,648,42,1.0,-218.0,1.0,2.4390243902439046,-25.17321016166282,2.4390243902439046
2024,Kültür Varlıklarını Koruma ve Onarım,47,614,47,5.0,-34.0,5.0,11.904761904761907,-5.246913580246915,11.904761904761907
2023,Kültür Varlıklarını Koruma ve Onarım (KKTC Uyruklu),1,1,0,,,,,,
2024,Kültür Varlıklarını Koruma ve Onarım (KKTC Uyruklu),1,3,0,0.0,2.0,0.0,0.0,200.0,
2021,Makine Mühendisliği,216,2352,216,,,,,,
