Department Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Chemistry,2022,131,485,-10.0,-9.027777777777779,-2.020202020202022,103,1792,103,32,3,10,0.0,0.0,565.0,46.04726976365119,0.0,0.0,4.0,14.28571428571428,-2.0,-40.0,-2.0,-16.666666666666664,367.43441,73218,71.4,44.4,0.0,,,,,,,,,,
Chemistry,2023,125,469,-16.0,-4.580152671755721,-3.298969072164948,106,1618,103,40,8,9,3.0,2.9126213592232997,-174.0,-9.70982142857143,0.0,0.0,8.0,25.0,5.0,166.66666666666666,-1.0,-9.999999999999998,385.42349,55952,74.3,48.2,0.0,,,,,,,,,,
Chemistry,2024,125,469,0.0,0.0,0.0,62,1312,62,40,8,9,-44.0,-41.509433962264154,-306.0,-18.912237330037087,-41.0,-39.80582524271845,0.0,0.0,0.0,0.0,0.0,0.0,380.79571,60177,75.3,46.8,0.0,,,,,,,,,,
Chemistry (English),2021,69,149,0.0,0.0,0.0,52,972,52,28,5,12,,,,,,,,,,,,,384.24844,57003,73.0,49.2,0.0,,,,,,,,,,
Chemistry (English),2022,81,181,32.0,17.391304347826097,21.476510067114084,52,1277,52,32,3,10,0.0,0.0,305.0,31.378600823045268,0.0,0.0,4.0,14.28571428571428,-2.0,-40.0,-2.0,-16.666666666666664,317.91073,69941,47.6,42.3,0.0,,,,,,,,,,
Chemistry (English),2023,79,207,26.0,-2.4691358024691357,14.36464088397791,54,1183,52,40,8,9,2.0,3.8461538461538547,-94.0,-7.361002349256074,0.0,0.0,8.0,25.0,5.0,166.66666666666666,-1.0,-9.999999999999998,271.41914,226256,54.2,25.0,0.0,,,,,,,,,,
Chemistry (English),2024,79,207,0.0,0.0,0.0,41,910,41,40,8,9,-13.0,-24.07407407407407,-273.0,-23.076923076923073,-11.0,-21.153846153846157,0.0,0.0,0.0,0.0,0.0,0.0,302.35253,144555,52.3,31.0,0.0,,,,,,,,,,
Civil Engineering,2021,899,125,0.0,0.0,0.0,134,1278,134,15,23,17,,,,,,,,,,,,,369.81961,12129,49.7,54.4,0.0,,,,,,,,,,
Civil Engineering,2022,801,150,25.0,-10.901001112347053,19.999999999999996,134,1858,134,19,21,16,0.0,0.0,580.0,45.38341158059469,0.0,0.0,4.0,26.66666666666666,-2.0,-8.695652173913048,-1.0,-5.882352941176472,331.41204,77529,55.2,38.7,0.0,,,,,,,,,,
Civil Engineering,2023,724,141,-9.0,-9.612983770287142,-6.000000000000005,134,1721,134,26,23,14,0.0,0.0,-137.0,-7.373519913885895,0.0,0.0,7.0,36.8421052631579,2.0,9.523809523809534,-2.0,-12.5,300.08087,163366,56.8,31.6,0.0,,,,,,,,,,
Civil Engineering,2024,724,141,0.0,0.0,0.0,82,1880,82,26,23,14,-52.0,-38.80597014925373,159.0,9.238814642649618,-52.0,-38.80597014925373,0.0,0.0,0.0,0.0,0.0,0.0,340.32209,35152,44.0,48.4,0.0,,,,,,,,,,
Civil Engineering (English),2021,324,32,0.0,0.0,0.0,62,933,62,15,23,17,,,,,,,,,,,,,310.7446,144907,60.6,34.0,0.0,,,,,,,,,,
Civil Engineering (English),2022,356,45,13.0,9.876543209876543,40.625,62,1414,62,19,21,16,0.0,0.0,481.0,51.554126473740624,0.0,0.0,4.0,26.66666666666666,-2.0,-8.695652173913048,-1.0,-5.882352941176472,371.84068,11209,51.0,56.5,0.0,,,,,,,,,,
Civil Engineering (English),2023,348,58,13.0,-2.2471910112359605,28.888888888888896,62,1306,62,26,23,14,0.0,0.0,-108.0,-7.637906647807635,0.0,0.0,7.0,36.8421052631579,2.0,9.523809523809534,-2.0,-12.5,323.21204,59860,43.6,43.3,0.0,,,,,,,,,,
Civil Engineering (English),2024,348,58,0.0,0.0,0.0,41,1278,41,26,23,14,-21.0,-33.87096774193549,-28.0,-2.143950995405819,-21.0,-33.87096774193549,0.0,0.0,0.0,0.0,0.0,0.0,273.88699,220116,52.8,24.2,0.0,,,,,,,,,,
Communication and Design,2021,27,39,0.0,0.0,0.0,62,660,62,0,2,0,,,,,,,,,,,,,441.45306,64251,87.9,57.6,0.0,59.168049999999994,5437.0,15.5,9.899999999999999,0.0,15.477470591902097,9.244397592409982,21.40883977900552,20.75471698113207,
Communication and Design,2022,82,153,114.0,203.70370370370372,292.30769230769226,62,979,62,0,2,1,0.0,0.0,319.0,48.33333333333334,0.0,0.0,0.0,,0.0,0.0,1.0,inf,460.672,47436,91.8,60.8,0.0,64.60157000000004,583.0,16.099999999999994,11.5,0.0,16.310626875124214,1.24431733293493,21.268163804491415,23.326572008113587,
Communication and Design,2023,105,218,65.0,28.04878048780488,42.48366013071896,64,811,64,1,2,1,2.0,3.2258064516129004,-168.0,-17.16036772216547,2.0,3.2258064516129004,1.0,inf,0.0,0.0,0.0,0.0,363.77832,75530,49.7,47.4,0.0,56.81848000000002,-19288.0,6.5,7.5,0.0,18.510069590862454,-20.342129131599485,15.046296296296301,18.796992481203013,
Communication and Design,2024,105,218,0.0,0.0,0.0,67,894,67,1,2,1,3.0,4.6875,83.0,10.234278668310726,3.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,425.8154,78936,82.3,53.3,0.0,74.43529999999998,-11408.0,14.0,13.099999999999994,0.0,21.183698223092318,-12.627291242362526,20.497803806735003,32.5870646766169,
