department_name,total_male_number_2021,total_male_number_2022,total_male_number_2023,total_male_number_2024,total_female_number_2021,total_female_number_2022,total_female_number_2023,total_female_number_2024,male_change_2021,male_change_2022,male_change_2023,male_change_2024,female_change_2021,female_change_2022,female_change_2023,female_change_2024
Türk Dili ve Edebiyatı,75.0,80.0,84.0,84.0,230.0,235.0,255.0,255.0,,6.666666666666665,5.000000000000004,0.0,,2.1739130434782705,8.51063829787233,0.0
Türkçe Öğretmenliği,104.0,118.0,119.0,119.0,168.0,183.0,184.0,184.0,,13.461538461538458,0.8474576271186418,0.0,,8.92857142857142,0.5464480874316946,0.0
Çevre Mühendisliği,178.0,168.0,150.0,150.0,283.0,306.0,293.0,293.0,,-5.61797752808989,-10.71428571428571,0.0,,8.127208480565361,-4.248366013071891,0.0
İktisat,,,54.0,54.0,,,52.0,52.0,,,,0.0,,,,0.0
İktisat (İngilizce),170.0,216.0,222.0,222.0,110.0,127.0,134.0,134.0,,27.058823529411757,2.777777777777768,0.0,,15.454545454545453,5.5118110236220375,0.0
İletişim ve Tasarımı,27.0,82.0,105.0,105.0,39.0,153.0,218.0,218.0,,203.70370370370372,28.04878048780488,0.0,,292.30769230769226,42.48366013071896,0.0
İlköğretim Matematik Öğretmenliği,92.0,96.0,86.0,86.0,225.0,248.0,232.0,232.0,,4.347826086956519,-10.416666666666663,0.0,,10.222222222222221,-6.451612903225811,0.0
İngilizce Öğretmenliği,112.0,119.0,112.0,112.0,191.0,202.0,197.0,197.0,,6.25,-5.882352941176472,0.0,,5.759162303664911,-2.4752475247524774,0.0
İnşaat Mühendisliği,899.0,801.0,724.0,724.0,125.0,150.0,141.0,141.0,,-10.901001112347053,-9.612983770287142,0.0,,19.999999999999996,-6.000000000000005,0.0
İnşaat Mühendisliği (İngilizce),324.0,356.0,348.0,348.0,32.0,45.0,58.0,58.0,,9.876543209876543,-2.2471910112359605,0.0,,40.625,28.888888888888896,0.0
İstatistik,249.0,278.0,311.0,311.0,205.0,212.0,215.0,215.0,,11.646586345381515,11.870503597122294,0.0,,3.4146341463414664,1.4150943396226356,0.0
İşletme,279.0,307.0,296.0,296.0,245.0,242.0,260.0,260.0,,10.035842293906816,-3.583061889250816,0.0,,-1.224489795918371,7.438016528925617,0.0
İşletme (İngilizce),104.0,181.0,208.0,208.0,69.0,143.0,171.0,171.0,,74.03846153846155,14.917127071823199,0.0,,107.24637681159419,19.580419580419584,0.0
Şehir ve Bölge Planlama,117.0,124.0,137.0,137.0,267.0,307.0,308.0,308.0,,5.982905982905984,10.483870967741925,0.0,,14.981273408239693,0.32573289902280145,0.0
